TimeGroup,VpnName,SrcProbeName,SrcProbeIp,DestIp,DestName,TestId,TestName,AlarmPolicyName,ScenarioName,DelayAverage,JitterAverage,PacketLossAverage,ReorderingRatio,MetricSampleCount,JitterAlarmThreshold,PacketLossAlarmThreshold,DelayAlarmThreshold,AVAILABILITY
20250624T121524,NNI,Tuzla_NNI,10.180.16.98,10.145.122.117,A5346(1)-PTN3320037_BUSAN_Gi1/1/0.3006,69341,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> A5346(1)-PTN3320037_BUSAN_Gi1/1/0.3006(10.145.122.117)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,0.000,0.000,100.000,0.000,1,4.000,0.500,20.000,N
20250624T121523,NNI,Tuzla_NNI,10.180.16.98,10.145.122.118,B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.3006,69342,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.3006(10.145.122.118)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,0.000,0.000,100.000,0.000,1,4.000,0.500,20.000,N
20250624T121508,NNI,Tuzla_NNI,10.180.16.98,10.145.122.141,A3299(1)-PTN2420826_SARNICTEPE_Gi1/0/0.1564,69343,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> A3299(1)-PTN2420826_SARNICTEPE_Gi1/0/0.1564(10.145.122.141)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,0.000,0.000,100.000,0.000,1,4.000,0.500,20.000,N
20250624T121506,NNI,Tuzla_NNI,10.180.16.98,10.145.122.142,B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.1564,69344,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.1564(10.145.122.142)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,12.262,0.043,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121522,NNI,Tuzla_NNI,10.180.16.98,10.145.122.145,D1349(1)-PTN3320041_ILGIN_TV_Gi3/1/0.2308,69345,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> D1349(1)-PTN3320041_ILGIN_TV_Gi3/1/0.2308(10.145.122.145)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,17.954,0.030,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121502,NNI,Tuzla_NNI,10.180.16.98,10.145.122.146,B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.2308,69346,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.2308(10.145.122.146)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,12.250,0.031,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121522,NNI,Tuzla_NNI,10.180.16.98,10.145.122.153,4876(2)-PTN3380837_KARAMAN_KUCUK_SAN_Gi1/1/0.148,69347,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> 4876(2)-PTN3380837_KARAMAN_KUCUK_SAN_Gi1/1/0.148(10.145.122.153)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,18.284,0.047,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121506,NNI,Tuzla_NNI,10.180.16.98,10.145.122.154,B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.148,69348,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.148(10.145.122.154)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,12.259,0.043,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121512,NNI,Tuzla_NNI,10.180.16.98,10.145.122.161,D3377(2)-PTN2480040_BURDUR_GOLU_Gi3/1/0.147,69349,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> D3377(2)-PTN2480040_BURDUR_GOLU_Gi3/1/0.147(10.145.122.161)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,14.290,0.034,0.000,0.000,1,4.000,0.500,20.000,Y
20250624T121509,NNI,Tuzla_NNI,10.180.16.98,10.145.122.162,B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.147,69350,Tuzla_NNI.enp2s0.2982(10.180.16.98) <--> B3001(1)-PTN2420725_MURATPASA_TT_Gi2/0/3.147(10.145.122.162)  @ Twamp_300byte_per_200ms,NNI_Alarm_Policy_Izmir,Twamp_300byte_per_200ms,0.000,0.000,100.000,0.000,1,4.000,0.500,20.000,N
